word	file	lines
src	2-do-i-need-to-use-quarto.qmd	21
ssgs	2-do-i-need-to-use-quarto.qmd	16
stylesheet	NOTE-tour.qmd	47
subcap	4c-command-line.qmd	40
tabset	index.qmd	35
tabset	3-setup.qmd	39
tabset	4a-RStudio.qmd	112
tabset	4b-Positron.qmd	98,142,275,288,330
tabset	4c-command-line.qmd	142
theems	4b-Positron.qmd	29,46
toc	index.qmd	15,16,17
toc	0-using-this-doc.qmd	6,7,8
toc	1-what-is-quarto.qmd	6,7,8
toc	2-do-i-need-to-use-quarto.qmd	6,7,8
toc	3-setup.qmd	6,7,8
toc	4a-RStudio.qmd	6,7,8
toc	4b-Positron.qmd	6,7,8
toc	4c-command-line.qmd	6,7,8
toc	NOTE-tour.qmd	44
toc	NOTE-workflow.qmd	6,7,8
ucsb	index.qmd	8,23
ucsb	0-using-this-doc.qmd	16
ucsb	3-setup.qmd	147,159
ucsb	NOTE-tour.qmd	47
ucsb	TIP-git-config.qmd	8
UCSB	4b-Positron.qmd	14
UI	4b-Positron.qmd	28,45
unchecking	4a-RStudio.qmd	38
untracked	4b-Positron.qmd	245
untracked	4c-command-line.qmd	132,137,180,189
Untracked	4c-command-line.qmd	123
useR	NOTE-git-github.qmd	9
usethis	3-setup.qmd	80,84,91,133
usethis	4a-RStudio.qmd	83,87,90,92,96,127,134,145,151
usethis	4b-Positron.qmd	140,173,175,179,181,191,195,198,204,211,223,268,302,310,319,343,351
usethis	IMPORTANT-usethis-root.qmd	6,8,10
usethis	NOTE-git-repo.qmd	7
usethis	NOTE-usethis.qmd	6,7
usr	3-setup.qmd	55
utm	2-do-i-need-to-use-quarto.qmd	16
vRStudio	4a-RStudio.qmd	23,32,33,47
wikipedia	NOTE-tour.qmd	22
YAML	1-what-is-quarto.qmd	22,28,30
YAML	NOTE-tour.qmd	12,22,24
yihui	2-do-i-need-to-use-quarto.qmd	14
yml	4a-RStudio.qmd	50
yml	4b-Positron.qmd	86
yml	4c-command-line.qmd	47,61,126
yml	NOTE-tour.qmd	24,26,51
yml	NOTE-workflow.qmd	22
yourGitHubUsername	4c-command-line.qmd	199
yourGitHubUsername	IMPORTANT-repo-name.qmd	6,7
yourGitHubUsername	NOTE-git-repo.qmd	7
YourGitHubUsername	NOTE-new-remote-repo-setup.qmd	11
yourRepoName	NOTE-new-remote-repo-setup.qmd	11
